Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0603_1608Metric,174.902,-92.5101,-90.0,top
C2,22uF,C_0603_1608Metric,173.378,-92.5101,-90.0,top
C3,100uF,C_1210_3225Metric,184.05,-80.95,90.0,top
C4,100uF,C_1210_3225Metric,182.776,-86.9091,-90.0,top
C5,0.1uF,C_0603_1608Metric,178.675,-71.625,0.0,top
C6,0.1uF,C_0603_1608Metric,181.506,-92.5101,90.0,top
C7,0.1uF,C_0603_1608Metric,173.468,-69.085,0.0,top
C8,0.1uF,C_0603_1608Metric,168.134,-72.4,90.0,top
C9,0.1uF,C_0603_1608Metric,169.658,-72.4,90.0,top
C10,3.3nF,C_0603_1608Metric,176.68,-81.5751,180.0,top
C11,1uF,C_0603_1608Metric,176.68,-80.0511,0.0,top
C12,10uF,C_0603_1608Metric,170.584,-91.4811,0.0,top
C13,200uF,C_1210_3225Metric,124.841,-69.469,90.0,top
C14,0.1uF,C_0603_1608Metric,149.95,-88.55,0.0,top
C15,10uF,C_0603_1608Metric,138.6192,-111.132,90.0,top
C16,10uF,C_0603_1608Metric,160.325,-82.9,90.0,top
C17,1uF,C_0603_1608Metric,151.323201,-65.986401,0.0,top
C18,10uF,C_0603_1608Metric,162.238801,-56.7784,180.0,top
C19,200uF,C_1210_3225Metric,124.9457,-78.470802,90.0,top
C20,0.1uF,C_0603_1608Metric,159.8168,-96.266,-90.0,top
D1,D_Schottky,DIOM5226X262N,160.8,-88.6,-90.0,top
D2,DFLS130L,PWRDI-123,155.184001,-66.85,90.0,top
D3,D_Schottky,DIOM5226X262N,156.498401,-60.7916,90.0,top
D4,DFLS130L,PWRDI-123,168.436401,-60.0804,180.0,top
D5,DFLS130L,PWRDI-123,135.984,-55.9779,0.0,top
IC1,"PCA9685PW,118",SOP65P640X110-28N,124.675,-118.05,-90.0,top
IC2,LT3652IMSE#PBF,SOP65P490X110-13N,156.2,-73.2,90.0,top
IC3,"PCT2075DP,118",TSSOP-8_3x3mm_P0.65mm,160.1,-111.4,0.0,top
J1,Face0,MOLEX_5040500591,191.9,-74.075,-90.0,top
J2,Face1,MOLEX_5040500591,191.95,-89.85,-90.0,top
J3,Face2,MOLEX_5040500591,191.9,-105.85,-90.0,top
J4,Face3,MOLEX_5040500591,116.8,-91.0,90.0,top
J5,Face4,MOLEX_5040500591,116.775,-106.625,90.0,top
J6,FC_FACE,Molex_Pico-Lock_504050-1291_1x12-1MP_P1.50mm_Horizontal,153.675,-129.7,0.0,top
J11,CHARGE,MOLEX_504050-0291,175.8,-47.1,180.0,top
J12,Foot0,MOLEX_504050-0291,130.4,-47.0,180.0,top
J13,Foot1,MOLEX_504050-0291,139.45,-47.05,180.0,top
J14,Foot2,MOLEX_504050-0291,148.55,-47.05,180.0,top
J15,Foot3,MOLEX_504050-0291,157.95,-47.05,180.0,top
J16,RBF,MOLEX_504050-0291,166.95,-47.1,180.0,top
J17,BURN,MOLEX_504050-0291,115.824,-66.929,-90.0,top
J18,Bypass,PinSocket_1x02_P2.54mm_Vertical,169.025,-54.7824,0.0,top
J19,Heater,MOLEX_504050-0291,115.825,-75.575,-90.0,top
J20,Breakout,JST_SM04B-SRSS-TB(LF)(SN),132.3,-129.75,0.0,top
K1,APAN3105,RELAY_APAN3105,137.6325,-87.01,-90.0,top
L1,3.3uH,L_1812_4532Metric,178.1588,-95.2463,-90.0,top
L2,10uH,L_1812_4532Metric,151.780401,-69.7964,90.0,top
Q1,IRF7458,SOIC-8_3.9x4.9mm_P1.27mm,178.675,-75.181,0.0,top
Q2,IRF7458,SOIC-8_3.9x4.9mm_P1.27mm,178.675,-68.069,0.0,top
Q3,MBT2222ADW1T1,SOT-363_SC-70-6,170.584,-86.1471,180.0,top
Q4,MBT2222ADW1T1,SOT-363_SC-70-6,170.584,-93.7671,180.0,top
Q5,IRLML2803,SOT-23,140.3225,-63.3569,180.0,top
Q6,NDS8434,NDS8434,131.064,-69.518,90.0,top
Q7,MMBT2222AT,SOT-523,140.4895,-56.9639,90.0,top
Q8,IRLML2803,SOT-23,138.052099,-77.708799,180.0,top
Q9,NDS8434,NDS8434,131.498899,-78.42,90.0,top
R1,0.01,R_2512_6332Metric,171.055,-75.943,0.0,top
R2,1K,R_0603_1608Metric,173.468,-67.434,0.0,top
R3,330,R_0603_1608Metric,168.134,-69.339,-90.0,top
R4,330,R_0603_1608Metric,169.658,-69.339,-90.0,top
R5,73.2K,R_0603_1608Metric,179.982,-81.3211,-90.0,top
R6,73.2K,R_0603_1608Metric,165.87519,-90.563911,180.0,top
R7,22.1K,R_0603_1608Metric,181.506,-81.3211,-90.0,top
R8,100K,R_0603_1608Metric,170.584,-89.9571,0.0,top
R9,100K,R_0603_1608Metric,173.886,-83.0991,180.0,top
R10,20K,R_0603_1608Metric,170.584,-88.4331,180.0,top
