Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0603_1608Metric,144.8575,-90.615,0.0,top
C2,22uF,C_0603_1608Metric,146.2225,-89.075,0.0,top
C3,100uF,C_1210_3225Metric,158.4175,-90.78,0.0,top
C4,100uF,C_1210_3225Metric,153.3475,-89.53,180.0,top
C5,0.1uF,C_0603_1608Metric,128.17,-114.61,0.0,top
C6,0.1uF,C_0603_1608Metric,156.9075,-94.24,90.0,top
C7,0.1uF,C_0603_1608Metric,131.22,-123.72,180.0,top
C8,0.1uF,C_0603_1608Metric,131.240001,-120.54,180.0,top
C9,0.1uF,C_0603_1608Metric,131.23,-122.09,180.0,top
C10,3.3nF,C_0603_1608Metric,144.8475,-95.26,180.0,top
C11,1uF,C_0603_1608Metric,144.8525,-93.73,180.0,top
C12,10uF,C_0603_1608Metric,151.8275,-98.16,0.0,top
C13,10uF,C_0603_1608Metric,145.4675,-85.28,90.0,top
C14,200uF,C_1210_3225Metric,121.7325,-78.709998,90.0,top
C15,200uF,C_1210_3225Metric,121.7025,-85.089998,90.0,top
C16,10uF,C_0805_2012Metric,135.085,-93.542499,-90.0,top
C17,0.01uF,C_0805_2012Metric,125.675,-102.132499,90.0,top
C18,0.1uF,C_0805_2012Metric,125.665,-98.632499,-90.0,top
C19,0.01uF,C_0805_2012Metric,125.685001,-95.1525,90.0,top
C20,22pF,C_0402_1005Metric,172.3,-80.21,-45.0,top
C21,22pF,C_0402_1005Metric,169.05,-83.04,135.0,top
C22,1uF,C_0805_2012Metric,132.505,-104.442499,0.0,top
C23,1uF,C_0603_1608Metric,181.59,-73.74,45.0,top
C24,10uF,C_0805_2012Metric,127.845,-93.5325,90.0,top
C25,0.1uF,C_0402_1005Metric,174.58,-82.67,45.0,top
C26,0.1uF,C_0402_1005Metric,184.67,-77.37,-135.0,top
C27,0.1uF,C_0805_2012Metric,132.924999,-93.5225,-90.0,top
C28,1uF,C_0603_1608Metric,186.62,-78.51,-45.0,top
C29,0.1uF,C_0402_1005Metric,177.63,-71.05,90.0,top
C30,1uF,C_0603_1608Metric,185.51,-79.59,-45.0,top
C31,0.1uF,C_0402_1005Metric,185.3,-85.4,-135.0,top
